"","age","agecat","degree","educ","emailhrs","hrs1","ndegree","netcat","nethrs","sex","sphrs1","srcheng2","tvhours","usecomp","usemail","usenet","useweb","webhrs","hapmar","happy","speduc","rincome","life","income","maeduc","paeduc","marital","postlife","pres96","richwork","satjob","sibs","spdeg","spwrksta","vote96","wrkstat","zodiac","incomdol","rincdol","husbeduc","wifeduc","husbhr","wifehr","husbft","wifeft","wkftwife","wkfthusb","ageC","educ.diff","wifeduc_comp"
"13",20,"18-29","Less than HS",11,0,40,"Less than high school","1+ to  4 hours",2,"Male",-1,"Explorer",2,"Yes","No","Yes","Yes",2,"NAP","PRETTY HAPPY",97,"$15000 TO 17499","NAP","$75000 TO $89999",97,97,"NEVER MARRIED","YES","NAP","NAP","MOD. SATISFIED",2,"NAP","NAP","INELIGIBLE","WORKING FULLTIME","LIBRA",82500,16250,NA,NA,NA,NA,NA,NA,NA,NA,-26.6363636363636,NA,13.2845659163987
"14",78,"60-89","Less than HS",10,7,40,"Less than high school","More than 10",22,"Male",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",15,"NAP","VERY HAPPY",97,"$10000 TO 12499","ROUTINE","$20000 TO 22499",98,98,"WIDOWED","NO","NAP","STOP WORKING","MOD. SATISFIED",11,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","SAGITTARIUS",21250,11250,NA,NA,NA,NA,NA,NA,NA,NA,31.3636363636364,NA,13.2845659163987
"15",80,"60-89","Less than HS",3,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",4,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","$10000 TO 12499",98,98,"WIDOWED","NO","NAP","NAP","MOD. SATISFIED",5,"NAP","NAP","DONT KNOW/REMMBR","KEEPING HOUSE","PISCES",11250,-2,NA,NA,NA,NA,NA,NA,NA,NA,33.3636363636364,NA,13.2845659163987
"16",85,"60-89","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",6,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","DULL","$6 000 TO 6 999",98,98,"WIDOWED",NA,"CLINTON","NAP","NAP",7,"NAP","NAP","VOTED","RETIRED","AQUARIUS",6500,-2,NA,NA,NA,NA,NA,NA,NA,NA,38.3636363636364,NA,13.2845659163987
"17",60,"60-89","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Female",40,"Not applicable",4,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",11,"$7 000 TO 7 999","NAP","$25000 TO 29999",6,6,"MARRIED","YES","CLINTON","NAP",NA,11,"LT HIGH SCHOOL","WORKING FULLTIME","VOTED","KEEPING HOUSE","CAPRICORN",27500,7500,11,9,40,NA,"Yes","No",0,1,13.3636363636364,-2,9
"18",30,"30-39","Less than HS",11,-1,87,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",1,"Yes","No answer","No","No",-1,"NAP","NOT TOO HAPPY",97,"$12500 TO 14999","NAP","$12500 TO 14999",97,97,"NEVER MARRIED","NO","NAP","NAP","A LITTLE DISSAT",7,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","VIRGO",13750,13750,NA,NA,NA,NA,NA,NA,NA,NA,-16.6363636363636,NA,13.2845659163987
"19",76,"60-89","Less than HS",7,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",12,"No","No","No","No",-1,"NAP",NA,97,"NAP","NAP","UNDER $1 000",98,8,"NEVER MARRIED","YES","DOLE","NAP","NAP",4,"NAP","NAP","VOTED","RETIRED","LEO",500,-2,NA,NA,NA,NA,NA,NA,NA,NA,29.3636363636364,NA,13.2845659163987
"20",84,"60-89","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",11,"No","No","No","No",-1,"NAP",NA,97,"NAP","NAP","$15000 TO 17499",3,97,"WIDOWED","YES","CLINTON","NAP","NAP",6,"NAP","NAP","VOTED","RETIRED","CANCER",16250,-2,NA,NA,NA,NA,NA,NA,NA,NA,37.3636363636364,NA,13.2845659163987
"21",72,"60-89","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",8,"NAP","EXCITING","REFUSED",98,98,"MARRIED","NAP","DONT KNOW","NAP","NAP",5,"LT HIGH SCHOOL","KEEPING HOUSE","VOTED","RETIRED","ARIES",-1,-2,8,8,NA,NA,"No","No",0,0,25.3636363636364,0,8
"22",78,"60-89","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",3,"No","No","No","No",-1,"NOT TOO HAPPY","PRETTY HAPPY",8,"NAP","ROUTINE","$20000 TO 22499",6,97,"MARRIED","NO","PEROT","NAP","NAP",6,"LT HIGH SCHOOL","KEEPING HOUSE","VOTED","RETIRED","LEO",21250,-2,8,8,NA,NA,"No","No",0,0,31.3636363636364,0,8
