"","age","agecat","degree","educ","emailhrs","hrs1","ndegree","netcat","nethrs","sex","sphrs1","srcheng2","tvhours","usecomp","usemail","usenet","useweb","webhrs","hapmar","happy","speduc","rincome","life","income","maeduc","paeduc","marital","postlife","pres96","richwork","satjob","sibs","spdeg","spwrksta","vote96","wrkstat","zodiac","incomdol","rincdol","husbeduc","wifeduc","husbhr","wifehr","husbft","wifeft","wkftwife","wkfthusb","ageC","educ.diff","wifeduc_comp"
"426",23,"18-29","High school",11,3,53,"High school","1+ to  4 hours",3.5,"Female",-1,"Not applicable",0,"Yes","Yes","Yes","Yes",0.5,"NAP","PRETTY HAPPY",97,"NAP","NAP","$8 000 TO 9 999",12,12,"NEVER MARRIED","YES","CLINTON","NAP","VERY SATISFIED",3,"NAP","NAP","VOTED","WORKING FULLTIME","VIRGO",9000,-2,NA,NA,NA,NA,NA,NA,NA,NA,-23.6363636363636,NA,13.2845659163987
"427",62,"60-89","High school",12,-1,15,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$6 000 TO 6 999","ROUTINE","$15000 TO 17499",8,98,"WIDOWED","NAP","CLINTON","STOP WORKING","MOD. SATISFIED",8,"NAP","NAP","VOTED","WORKING PARTTIME","AQUARIUS",16250,6500,NA,NA,NA,NA,NA,NA,NA,NA,15.3636363636364,NA,13.2845659163987
"428",25,"18-29","High school",12,-1,6,"High school","Not Internet user",-1,"Female",-1,"Not applicable",14,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"UNDER $1 000","DULL","UNDER $1 000",12,12,"NEVER MARRIED","YES","NAP","STOP WORKING","VERY SATISFIED",1,"NAP","NAP","DID NOT VOTE","WORKING PARTTIME","TAURUS",500,500,NA,NA,NA,NA,NA,NA,NA,NA,-21.6363636363636,NA,13.2845659163987
"429",27,"18-29","High school",12,-1,35,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"Yes","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$15000 TO 17499","EXCITING","$20000 TO 22499",10,97,"SEPARATED","NAP","CLINTON","STOP WORKING","MOD. SATISFIED",0,"NAP","NAP","VOTED","WORKING FULLTIME","LEO",21250,16250,NA,NA,NA,NA,NA,NA,NA,NA,-19.6363636363636,NA,13.2845659163987
"430",35,"30-39","High school",12,0,54,"High school","1+ to  4 hours",2,"Male",-1,"Explorer",2,"Yes","No","Yes","Yes",2,"NAP","PRETTY HAPPY",97,"$30000 TO 34999","NAP","$30000 TO 34999",12,12,"DIVORCED","YES","DOLE","NAP","VERY SATISFIED",2,"NAP","NAP","VOTED","WORKING FULLTIME","SCORPIO",32500,32500,NA,NA,NA,NA,NA,NA,NA,NA,-11.6363636363636,NA,13.2845659163987
"431",38,"30-39","High school",13,2,50,"High school","1+ to  4 hours",4,"Female",50,"Not applicable",2,"Yes","Yes","Yes","Yes",2,"PRETTY HAPPY","PRETTY HAPPY",12,"$15000 TO 17499","EXCITING","$40000 TO 49999",3,12,"MARRIED","YES","NAP","CONTINUE WORKING","MOD. SATISFIED",2,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","WORKING FULLTIME","VIRGO",45000,16250,12,13,50,50,"Yes","Yes",1,1,-8.63636363636363,1,13
"432",75,"60-89","High school",12,1,-1,"High school","More than 10",15,"Male",-1,"Not applicable",-1,"No","Yes","Yes","Yes",14,"VERY HAPPY","VERY HAPPY",12,"NAP","EXCITING","$25000 TO 29999",12,7,"MARRIED","NAP","CLINTON","NAP","NAP",6,"HIGH SCHOOL","RETIRED","VOTED","RETIRED","LIBRA",27500,-2,12,12,NA,NA,"No","No",0,0,28.3636363636364,0,12
"433",32,"30-39","High school",17,2,42,"High school","1+ to  4 hours",3.5,"Female",40,"Lycos",1,"Yes","Yes","Yes","Yes",1.5,"PRETTY HAPPY","PRETTY HAPPY",12,"$30000 TO 34999","NAP","$60000 TO 74999",13,18,"MARRIED","YES","DOLE","NAP","MOD. SATISFIED",1,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","CANCER",67500,32500,12,17,40,42,"Yes","Yes",1,1,-14.6363636363636,5,17
"434",45,"40-49","High school",12,10,40,"High school","More than 10",12,"Female",-1,"Not available",-1,"Yes","Yes","Yes","Yes",2,"NAP","PRETTY HAPPY",97,"$30000 TO 34999","ROUTINE","$30000 TO 34999",8,97,"DIVORCED","NAP","CLINTON","STOP WORKING","VERY SATISFIED",7,"NAP","NAP","VOTED","WORKING FULLTIME","AQUARIUS",32500,32500,NA,NA,NA,NA,NA,NA,NA,NA,-1.63636363636363,NA,13.2845659163987
"435",21,"18-29","High school",12,2,23,"High school","4+ to 10 hours",6,"Female",-1,"Yahoo",3,"Yes","Yes","Yes","Yes",4,"NAP","PRETTY HAPPY",97,"UNDER $1 000","ROUTINE","$60000 TO 74999",13,17,"NEVER MARRIED","YES","NAP","CONTINUE WORKING","MOD. SATISFIED",2,"NAP","NAP","INELIGIBLE","WORKING PARTTIME","SAGITTARIUS",67500,500,NA,NA,NA,NA,NA,NA,NA,NA,-25.6363636363636,NA,13.2845659163987
"436",20,"18-29","High school",13,3,20,"High school","4+ to 10 hours",6,"Male",-1,"Not applicable",3,"Yes","Yes","Yes","Yes",3,"NAP","PRETTY HAPPY",97,"$4 000 TO 4 999","NAP","$4 000 TO 4 999",16,16,"NEVER MARRIED","YES","NAP","NAP","MOD. SATISFIED",3,"NAP","NAP","INELIGIBLE","WORKING PARTTIME","CAPRICORN",4500,4500,NA,NA,NA,NA,NA,NA,NA,NA,-26.6363636363636,NA,13.2845659163987
"437",62,"60-89","High school",18,-1,40,"High school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$40000 TO 49999","ROUTINE","$75000 TO $89999",3,2,"DIVORCED","NAP","NAP","STOP WORKING","MOD. SATISFIED",12,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","LEO",82500,45000,NA,NA,NA,NA,NA,NA,NA,NA,15.3636363636364,NA,13.2845659163987
"438",43,"40-49","High school",12,3,39,"High school","More than 10",13,"Female",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",10,"NAP","NOT TOO HAPPY",97,"$15000 TO 17499","ROUTINE","$17500 TO 19999",97,6,"DIVORCED","YES","NAP","STOP WORKING","VERY DISSATISFIED",2,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","CANCER",18750,16250,NA,NA,NA,NA,NA,NA,NA,NA,-3.63636363636363,NA,13.2845659163987
"439",73,"60-89","High school",14,-1,20,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"Yes","No","No","No",-1,"NAP","VERY HAPPY",97,"$12500 TO 14999","ROUTINE","$12500 TO 14999",7,5,"NEVER MARRIED","NAP","CLINTON","CONTINUE WORKING","VERY SATISFIED",2,"NAP","NAP","VOTED","WORKING PARTTIME","VIRGO",13750,13750,NA,NA,NA,NA,NA,NA,NA,NA,26.3636363636364,NA,13.2845659163987
"440",35,"30-39","High school",13,2,28,"High school","4+ to 10 hours",7,"Female",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",5,"NAP","NOT TOO HAPPY",97,"NAP","NAP","$10000 TO 12499",12,12,"DIVORCED","YES","DOLE","NAP","VERY SATISFIED",3,"NAP","NAP","VOTED","WORKING PARTTIME","CAPRICORN",11250,-2,NA,NA,NA,NA,NA,NA,NA,NA,-11.6363636363636,NA,13.2845659163987
"441",48,"40-49","High school",12,0.333333333333333,60,"High school","1+ to  4 hours",3.33333333333333,"Female",40,"Not applicable",3,"Yes","Yes","Yes","Yes",3,"PRETTY HAPPY","PRETTY HAPPY",14,"NAP","ROUTINE","$40000 TO 49999",98,11,"MARRIED","YES","CLINTON","STOP WORKING","MOD. SATISFIED",5,"LT HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","LEO",45000,-2,14,12,40,60,"Yes","Yes",1,1,1.36363636363637,-2,12
"442",88,"60-89","High school",16,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","DULL","$12500 TO 14999",12,9,"WIDOWED","DK","DONT KNOW","NAP",NA,0,"NAP","NAP","VOTED","KEEPING HOUSE","VIRGO",13750,-2,NA,NA,NA,NA,NA,NA,NA,NA,41.3636363636364,NA,13.2845659163987
"443",50,"50-59","High school",12,-3,47,"High school","Not available",-3,"Male",-1,"Not available",4,"Yes","No answer","No answer","No answer",-3,"NAP","PRETTY HAPPY",97,"$40000 TO 49999","EXCITING","$40000 TO 49999",3,97,"DIVORCED","YES","DOLE","STOP WORKING","MOD. SATISFIED",6,"NAP","NAP","VOTED","WORKING FULLTIME","LIBRA",45000,45000,NA,NA,NA,NA,NA,NA,NA,NA,3.36363636363637,NA,13.2845659163987
"444",44,"40-49","High school",14,1,60,"High school","One hour or less",1,"Female",40,"Not applicable",4,"Yes","Yes","Yes","No",0,"NOT TOO HAPPY","PRETTY HAPPY",14,"$22500 TO 24999","ROUTINE","$40000 TO 49999",97,97,"MARRIED","YES","CLINTON","CONTINUE WORKING","VERY SATISFIED",11,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","LEO",45000,23750,14,14,40,60,"Yes","Yes",1,1,-2.63636363636363,0,14
"445",40,"40-49","High school",12,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","EXCITING","$8 000 TO 9 999",12,12,"NEVER MARRIED","NAP","NAP","NAP","MOD. SATISFIED",5,"NAP","NAP","DID NOT VOTE","KEEPING HOUSE","CANCER",9000,-2,NA,NA,NA,NA,NA,NA,NA,NA,-6.63636363636363,NA,13.2845659163987
"446",72,"60-89","High school",12,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"UNDER $1 000","EXCITING","$15000 TO 17499",8,8,"WIDOWED","NAP","CLINTON","NAP","NAP",2,"NAP","NAP","VOTED","RETIRED","CAPRICORN",16250,500,NA,NA,NA,NA,NA,NA,NA,NA,25.3636363636364,NA,13.2845659163987
"447",21,"18-29","High school",12,1,-1,"High school","1+ to  4 hours",4,"Female",40,"Not applicable",-1,"Yes","Yes","Yes","Yes",3,"PRETTY HAPPY","PRETTY HAPPY",12,"NAP","ROUTINE","$25000 TO 29999",12,16,"MARRIED","NAP","NAP","NAP","VERY SATISFIED",2,"HIGH SCHOOL","WORKING FULLTIME","INELIGIBLE","KEEPING HOUSE","CANCER",27500,-2,12,12,40,NA,"Yes","No",0,1,-25.6363636363636,0,12
"448",48,"40-49","High school",12,0.333333333333333,52,"High school","4+ to 10 hours",7.33333333333333,"Female",50,"Not applicable",-1,"Yes","Yes","Yes","Yes",7,"VERY HAPPY","VERY HAPPY",14,"$4 000 TO 4 999","EXCITING","$20000 TO 22499",12,12,"MARRIED","NAP","DOLE","CONTINUE WORKING","VERY SATISFIED",4,"GRADUATE","WORKING FULLTIME","VOTED","WORKING FULLTIME","LIBRA",21250,4500,14,12,50,52,"Yes","Yes",1,1,1.36363636363637,-2,12
"449",46,"40-49","High school",12,-1,22,"High school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$10000 TO 12499","DULL","$10000 TO 12499",12,97,"SEPARATED","NAP","NAP","CONTINUE WORKING","MOD. SATISFIED",24,"NAP","NAP","DID NOT VOTE","WORKING PARTTIME","AQUARIUS",11250,11250,NA,NA,NA,NA,NA,NA,NA,NA,-0.636363636363633,NA,13.2845659163987
"450",41,"40-49","High school",12,2,37,"High school","4+ to 10 hours",10,"Female",40,"Lycos",4,"Yes","Yes","Yes","Yes",8,"VERY HAPPY","VERY HAPPY",12,"$10000 TO 12499","NAP","$50000 TO 59999",0,0,"MARRIED","YES","CLINTON","NAP","MOD. SATISFIED",4,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING PARTTIME","CANCER",55000,11250,12,12,40,37,"Yes","No",0,1,-5.63636363636363,0,12
"451",43,"40-49","High school",15,1,20,"High school","More than 10",21,"Female",-1,"Not applicable",1,"Yes","Yes","Yes","Yes",20,"NAP","PRETTY HAPPY",97,"$10000 TO 12499","NAP","$10000 TO 12499",12,8,"DIVORCED","YES","DONT KNOW","NAP","VERY DISSATISFIED",3,"NAP","NAP","VOTED","WORKING PARTTIME","LIBRA",11250,11250,NA,NA,NA,NA,NA,NA,NA,NA,-3.63636363636363,NA,13.2845659163987
"452",72,"60-89","High school",12,5,-1,"High school","More than 10",11,"Male",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",6,"VERY HAPPY","VERY HAPPY",12,"NAP","NAP","$40000 TO 49999",8,97,"MARRIED","YES","DOLE","NAP","NAP",7,"HIGH SCHOOL","KEEPING HOUSE","VOTED","RETIRED","LEO",45000,-2,12,12,NA,NA,"No","No",0,0,25.3636363636364,0,12
"453",43,"40-49","High school",12,6,40,"High school","More than 10",16,"Female",-1,"Yahoo",-1,"Yes","Yes","Yes","Yes",10,"NAP","PRETTY HAPPY",97,"$30000 TO 34999","EXCITING","$30000 TO 34999",15,16,"WIDOWED","NAP","CLINTON","CONTINUE WORKING","VERY SATISFIED",6,"NAP","NAP","VOTED","WORKING FULLTIME","LEO",32500,32500,NA,NA,NA,NA,NA,NA,NA,NA,-3.63636363636363,NA,13.2845659163987
"454",73,"60-89","High school",12,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",2,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","NAP","$20000 TO 22499",98,98,"WIDOWED","YES","CLINTON","NAP","NAP",9,"NAP","NAP","VOTED","RETIRED","VIRGO",21250,-2,NA,NA,NA,NA,NA,NA,NA,NA,26.3636363636364,NA,13.2845659163987
"455",40,"40-49","High school",15,0,-1,"High school","One hour or less",0.333333333333333,"Male",40,"Not applicable",3,"Yes","No","Yes","Yes",0.333333333333333,"NOT TOO HAPPY","NOT TOO HAPPY",15,"REFUSED","NAP","DK",12,13,"MARRIED","YES","CLINTON","NAP","A LITTLE DISSAT",2,"HIGH SCHOOL","WORKING FULLTIME","VOTED","TEMP NOT WORKING","GEMINI",-2,-1,15,15,NA,40,"No","Yes",1,0,-6.63636363636363,0,15
"456",53,"50-59","High school",13,-1,35,"High school","Not Internet user",-1,"Female",40,"Not applicable",1,"No","No","No","No",-1,"PRETTY HAPPY","VERY HAPPY",14,"REFUSED","ROUTINE","REFUSED",12,12,"MARRIED","YES","PEROT","STOP WORKING","VERY SATISFIED",3,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","AQUARIUS",-1,-1,14,13,40,35,"Yes","Yes",1,1,6.36363636363637,-1,13
"457",67,"60-89","High school",12,-1,-1,"High school","Not Internet user",-1,"Female",50,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,"NAP","EXCITING","$110000 OR OVER",9,12,"MARRIED","NAP","PEROT","NAP",NA,4,"HIGH SCHOOL","WORKING FULLTIME","VOTED","KEEPING HOUSE","CAPRICORN",110000,-2,12,12,50,NA,"Yes","No",0,1,20.3636363636364,0,12
"458",51,"50-59","High school",12,-1,46,"High school","Not Internet user",-1,"Female",-1,"Not applicable",2,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$20000 TO 22499","NAP",NA,12,11,"DIVORCED","YES","NAP","NAP","MOD. SATISFIED",5,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","SAGITTARIUS",-2,21250,NA,NA,NA,NA,NA,NA,NA,NA,4.36363636363637,NA,13.2845659163987
"459",62,"60-89","High school",12,1,-1,"High school","1+ to  4 hours",1.5,"Female",50,"Not applicable",-1,"Yes","Yes","Yes","Yes",0.5,"PRETTY HAPPY","PRETTY HAPPY",14,"$12500 TO 14999","ROUTINE","$60000 TO 74999",12,98,"MARRIED","NAP","DOLE","NAP","NAP",2,"HIGH SCHOOL","WORKING FULLTIME","VOTED","RETIRED","ARIES",67500,13750,14,12,50,NA,"Yes","No",0,1,15.3636363636364,-2,12
"460",40,"40-49","High school",14,1,50,"High school","One hour or less",1,"Female",-1,"Not applicable",1,"Yes","Yes","Yes","No",0,"NAP",NA,97,"$25000 TO 29999","NAP","$25000 TO 29999",6,97,"NEVER MARRIED","YES","NAP","NAP","VERY SATISFIED",3,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","LEO",27500,27500,NA,NA,NA,NA,NA,NA,NA,NA,-6.63636363636363,NA,13.2845659163987
"461",25,"18-29","High school",16,3,40,"High school","More than 10",12,"Female",-1,"Not applicable",2,"Yes","Yes","Yes","Yes",9,"NAP","PRETTY HAPPY",97,"$25000 TO 29999","EXCITING","$50000 TO 59999",15,97,"NEVER MARRIED","YES","CLINTON","CONTINUE WORKING","MOD. SATISFIED",0,"NAP","NAP","VOTED","WORKING FULLTIME","GEMINI",55000,27500,NA,NA,NA,NA,NA,NA,NA,NA,-21.6363636363636,NA,13.2845659163987
"462",24,"18-29","High school",12,-1,40,"High school","Not Internet user",-1,"Male",-1,"Not applicable",2,"No","No","No","No",-1,"VERY HAPPY","PRETTY HAPPY",12,"$35000 TO 39999","NAP","$35000 TO 39999",12,20,"MARRIED","YES","NAP","NAP","A LITTLE DISSAT",4,"HIGH SCHOOL","KEEPING HOUSE","DID NOT VOTE","WORKING FULLTIME","VIRGO",37500,37500,12,12,40,NA,"Yes","No",0,1,-22.6363636363636,0,12
"463",44,"40-49","High school",12,-1,59,"High school","Not Internet user",-1,"Male",-1,"Not applicable",2,"Yes","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$40000 TO 49999","NAP","$40000 TO 49999",98,98,"DIVORCED","YES","PEROT","NAP","MOD. SATISFIED",2,"NAP","NAP","VOTED","WORKING FULLTIME","CANCER",45000,45000,NA,NA,NA,NA,NA,NA,NA,NA,-2.63636363636363,NA,13.2845659163987
"464",61,"60-89","High school",13,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",5,"No","No","No","No",-1,"NAP","VERY HAPPY",97,"NAP","NAP","$30000 TO 34999",98,4,"DIVORCED","NO","CLINTON","NAP","NAP",11,"NAP","NAP","VOTED","RETIRED","SAGITTARIUS",32500,-2,NA,NA,NA,NA,NA,NA,NA,NA,14.3636363636364,NA,13.2845659163987
"465",25,"18-29","High school",12,1,40,"High school","1+ to  4 hours",2,"Female",-1,"Not applicable",4,"Yes","Yes","Yes","Yes",1,"NAP","PRETTY HAPPY",97,"$17500 TO 19999","NAP","$17500 TO 19999",14,12,"DIVORCED","NO","NAP","NAP","MOD. SATISFIED",3,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","VIRGO",18750,18750,NA,NA,NA,NA,NA,NA,NA,NA,-21.6363636363636,NA,13.2845659163987
"466",66,"60-89","High school",13,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",3,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",13,"NAP","NAP","DK",8,9,"MARRIED","YES","NAP","NAP","VERY SATISFIED",4,"BACHELOR","KEEPING HOUSE","DONT KNOW/REMMBR","KEEPING HOUSE","LIBRA",-2,-2,13,13,NA,NA,"No","No",0,0,19.3636363636364,0,13
"467",32,"30-39","High school",12,-1,50,"High school","Not Internet user",-1,"Male",-1,"Not applicable",12,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$20000 TO 22499","NAP","$20000 TO 22499",9,98,"SEPARATED","YES","NAP","NAP","MOD. SATISFIED",1,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","VIRGO",21250,21250,NA,NA,NA,NA,NA,NA,NA,NA,-14.6363636363636,NA,13.2845659163987
"468",32,"30-39","High school",12,-1,45,"High school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",10,"$17500 TO 19999","EXCITING","$17500 TO 19999",4,0,"MARRIED","NAP","NAP","CONTINUE WORKING","MOD. SATISFIED",10,"HIGH SCHOOL","KEEPING HOUSE","DID NOT VOTE","WORKING FULLTIME","ARIES",18750,18750,12,10,45,NA,"Yes","No",0,1,-14.6363636363636,-2,10
"469",68,"60-89","High school",12,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",2,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"NAP","ROUTINE","$17500 TO 19999",12,97,"DIVORCED","DK",NA,"NAP","NAP",7,"NAP","NAP","VOTED","RETIRED","PISCES",18750,-2,NA,NA,NA,NA,NA,NA,NA,NA,21.3636363636364,NA,13.2845659163987
"470",37,"30-39","High school",14,5,40,"High school","4+ to 10 hours",9,"Male",25,"Yahoo",5,"Yes","Yes","Yes","Yes",4,"PRETTY HAPPY","VERY HAPPY",12,"REFUSED","NAP","REFUSED",6,97,"MARRIED","YES","DOLE","NAP","VERY SATISFIED",6,"HIGH SCHOOL","WORKING PARTTIME","VOTED","WORKING FULLTIME","PISCES",-1,-1,14,12,40,25,"Yes","No",0,1,-9.63636363636363,-2,12
"471",60,"60-89","High school",14,0.333333333333333,35,"High school","One hour or less",0.333333333333333,"Female",-1,"Not applicable",8,"Yes","Yes","Yes","No",0,"NAP","VERY HAPPY",97,"$17500 TO 19999","NAP","$17500 TO 19999",9,97,"SEPARATED","YES","CLINTON","NAP","A LITTLE DISSAT",1,"NAP","NAP","VOTED","WORKING FULLTIME","ARIES",18750,18750,NA,NA,NA,NA,NA,NA,NA,NA,13.3636363636364,NA,13.2845659163987
"472",25,"18-29","High school",12,-1,42,"High school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"$25000 TO 29999","ROUTINE","$35000 TO 39999",12,97,"NEVER MARRIED","NAP","NAP","STOP WORKING","MOD. SATISFIED",7,"NAP","NAP","DONT KNOW/REMMBR","WORKING FULLTIME","VIRGO",37500,27500,NA,NA,NA,NA,NA,NA,NA,NA,-21.6363636363636,NA,13.2845659163987
"473",41,"40-49","High school",13,-1,77,"High school","Not Internet user",-1,"Male",-1,"Not applicable",6,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"NAP","NAP","DK",10,97,"NEVER MARRIED","YES","NAP","NAP","MOD. SATISFIED",3,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","ARIES",-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,-5.63636363636363,NA,13.2845659163987
"474",27,"18-29","High school",16,0.166666666666667,36,"High school","1+ to  4 hours",2.16666666666667,"Male",-1,"Yahoo",1,"Yes","Yes","Yes","Yes",2,"NAP","PRETTY HAPPY",97,"$15000 TO 17499","NAP","$15000 TO 17499",14,16,"NEVER MARRIED","YES","NAP","NAP","VERY SATISFIED",1,"NAP","NAP","DID NOT VOTE","WORKING PARTTIME","CAPRICORN",16250,16250,NA,NA,NA,NA,NA,NA,NA,NA,-19.6363636363636,NA,13.2845659163987
"475",43,"40-49","High school",12,2,40,"High school","4+ to 10 hours",6,"Male",-1,"Yahoo",-1,"Yes","Yes","Yes","Yes",4,"VERY HAPPY","PRETTY HAPPY",16,"$60000 TO 74999","EXCITING","$60000 TO 74999",12,18,"MARRIED","NAP","DOLE","STOP WORKING","A LITTLE DISSAT",1,"BACHELOR","KEEPING HOUSE","VOTED","WORKING FULLTIME","SAGITTARIUS",67500,67500,12,16,40,NA,"Yes","No",0,1,-3.63636363636363,4,16
"476",43,"40-49","High school",12,3,55,"High school","4+ to 10 hours",9,"Male",45,"Lycos",1,"Yes","Yes","Yes","Yes",6,"VERY HAPPY","VERY HAPPY",12,"$40000 TO 49999","NAP","$75000 TO $89999",8,8,"MARRIED","YES","PEROT","NAP","MOD. SATISFIED",4,"HIGH SCHOOL","WORKING FULLTIME","VOTED","WORKING FULLTIME","PISCES",82500,45000,12,12,55,45,"Yes","Yes",1,1,-3.63636363636363,0,12
"477",28,"18-29","High school",13,-1,55,"High school","Not Internet user",-1,"Male",36,"Not applicable",-1,"No","No","No","No",-1,"PRETTY HAPPY","VERY HAPPY",14,"$22500 TO 24999","EXCITING","$35000 TO 39999",12,12,"MARRIED","NAP","NAP","CONTINUE WORKING","VERY SATISFIED",2,"JUNIOR COLLEGE","WORKING PARTTIME","DID NOT VOTE","WORKING FULLTIME","PISCES",37500,23750,13,14,55,36,"Yes","No",0,1,-18.6363636363636,1,14
"478",53,"50-59","High school",11,-1,-1,"High school","Not Internet user",-1,"Male",48,"Not applicable",15,"No","No","No","No",-1,"PRETTY HAPPY","NOT TOO HAPPY",12,"NAP","DULL","$50000 TO 59999",10,12,"MARRIED","NO","CLINTON","NAP","NAP",5,"HIGH SCHOOL","WORKING FULLTIME","VOTED","OTHER","SCORPIO",55000,-2,11,12,NA,48,"No","Yes",1,0,6.36363636363637,1,12
"479",23,"18-29","High school",12,-1,45,"High school","Not Internet user",-1,"Female",40,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,"$15000 TO 17499","EXCITING","$30000 TO 34999",12,12,"MARRIED","NAP","NAP","CONTINUE WORKING","MOD. SATISFIED",1,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","WORKING FULLTIME","AQUARIUS",32500,16250,12,12,40,45,"Yes","Yes",1,1,-23.6363636363636,0,12
"480",77,"60-89","High school",12,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",3,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","$40000 TO 49999",8,8,"WIDOWED","YES","DOLE","NAP",NA,2,"NAP","NAP","VOTED","KEEPING HOUSE","LIBRA",45000,-2,NA,NA,NA,NA,NA,NA,NA,NA,30.3636363636364,NA,13.2845659163987
"481",38,"30-39","High school",12,0.0833333333333333,50,"High school","One hour or less",0.0833333333333333,"Male",-1,"Not applicable",1,"Yes","Yes","Yes","No",0,"NAP","PRETTY HAPPY",97,"$40000 TO 49999","NAP","$40000 TO 49999",10,12,"DIVORCED","YES","PEROT","NAP","VERY DISSATISFIED",3,"NAP","NAP","VOTED","WORKING FULLTIME","ARIES",45000,45000,NA,NA,NA,NA,NA,NA,NA,NA,-8.63636363636363,NA,13.2845659163987
"482",28,"18-29","High school",12,2,40,"High school","1+ to  4 hours",3,"Female",-1,"Yahoo",-1,"Yes","Yes","Yes","Yes",1,"PRETTY HAPPY","VERY HAPPY",13,"$1 000 TO 2 999","ROUTINE","$1 000 TO 2 999",97,8,"MARRIED","NAP","NAP","STOP WORKING","MOD. SATISFIED",2,"HIGH SCHOOL","OTHER","DID NOT VOTE","WORKING FULLTIME","LEO",2000,2000,13,12,NA,40,"No","Yes",1,0,-18.6363636363636,-1,12
"483",70,"60-89","High school",14,-1,-1,"High school","Not Internet user",-1,"Female",-1,"Not applicable",3,"No","No","No","No",-1,"PRETTY HAPPY","VERY HAPPY",16,"NAP","EXCITING","$35000 TO 39999",8,97,"MARRIED","YES","CLINTON","NAP","VERY SATISFIED",4,"BACHELOR","RETIRED","VOTED","KEEPING HOUSE","VIRGO",37500,-2,16,14,NA,NA,"No","No",0,0,23.3636363636364,-2,14
"484",25,"18-29","High school",15,40,40,"High school","More than 10",50,"Male",-1,"Google",6,"Yes","Yes","Yes","Yes",10,"NAP","VERY HAPPY",97,"$20000 TO 22499","NAP","$20000 TO 22499",16,12,"NEVER MARRIED","YES","CLINTON","NAP","VERY SATISFIED",2,"NAP","NAP","VOTED","WORKING FULLTIME","LEO",21250,21250,NA,NA,NA,NA,NA,NA,NA,NA,-21.6363636363636,NA,13.2845659163987
